entry,exit,qty,pnl,net_pnl,return,reason
342.0,335.15999999999997,6,-4104.000000000019,-4179.000000000019,-2.0365497076023487,SL
607.5,595.35,5,-6074.999999999989,-6149.999999999989,-2.0246913580246875,SL
403.0,394.94,7,-5642.000000000002,-5717.000000000002,-2.0265863169088982,SL
418.2,409.83599999999996,8,-6691.200000000026,-6766.200000000026,-2.022417503586808,SL
420.6,854.0,11,476739.99999999994,476664.99999999994,103.02706090865861,Signal
470.2,460.796,2,-1880.7999999999993,-1955.7999999999993,-2.0797532964695864,SL
451.8,442.764,7,-6325.200000000001,-6400.200000000001,-2.0237146651489284,SL
480.2,470.596,8,-7683.199999999988,-7758.199999999988,-2.0195231153685933,SL
447.3,438.354,9,-8051.400000000023,-8126.400000000023,-2.018630300320447,SL
557.1,545.958,15,-16713.00000000008,-16788.00000000008,-2.0089750493627814,SL
306.2,300.07599999999996,8,-4899.200000000019,-4974.200000000019,-2.030617243631621,SL
291.4,285.57199999999995,8,-4662.400000000025,-4737.400000000025,-2.0321722717913633,SL
259.4,254.21199999999996,8,-4150.400000000013,-4225.400000000013,-2.0361410948342393,SL
210.5,206.29,21,-8841.000000000016,-8916.000000000016,-2.016966406515104,SL
263.5,258.23,10,-5269.999999999982,-5344.999999999982,-2.02846299810246,SL
161.7,206.8,24,108240.00000000006,108165.00000000006,27.871830550401995,Signal
264.0,258.71999999999997,11,-5808.000000000033,-5883.000000000033,-2.025826446281003,SL
265.8,260.484,8,-4252.800000000025,-4327.800000000025,-2.0352708803611854,SL
211.0,206.78,14,-5907.999999999998,-5982.999999999998,-2.025389302640487,SL
237.5,232.75,14,-6650.0,-6725.0,-2.0225563909774436,SL
211.7,207.46599999999998,10,-4234.000000000009,-4309.000000000009,-2.0354274917335897,SL
272.5,267.05,7,-3814.999999999992,-3889.999999999992,-2.039318479685448,SL
215.4,211.092,5,-2153.9999999999964,-2228.9999999999964,-2.0696378830083533,SL
190.7,186.886,8,-3051.1999999999944,-3126.1999999999944,-2.0491609858416324,SL
214.0,209.72,14,-5992.000000000002,-6067.000000000002,-2.025033377837117,SL
165.9,162.582,13,-4313.400000000016,-4388.400000000016,-2.0347753512310542,SL
147.0,144.06,12,-3527.9999999999973,-3602.9999999999973,-2.0425170068027194,SL
213.4,209.132,27,-11523.600000000002,-11598.600000000002,-2.0130167655940854,SL
163.6,160.328,9,-2944.799999999992,-3019.799999999992,-2.050937245313768,SL
162.0,158.76,9,-2916.000000000008,-2991.000000000008,-2.0514403292181127,SL
209.0,204.82,10,-4180.000000000007,-4255.000000000007,-2.0358851674641185,SL
185.1,181.398,11,-4072.199999999998,-4147.199999999998,-2.03683512597613,SL
169.7,166.30599999999998,13,-4412.200000000007,-4487.200000000007,-2.0339966456642977,SL
217.0,212.66,6,-2604.000000000002,-2679.000000000002,-2.057603686635946,SL
216.6,212.268,7,-3032.3999999999955,-3107.3999999999955,-2.0494657696873735,SL
213.7,335.0,7,84910.00000000001,84835.00000000001,56.71167858814093,Signal
235.7,230.986,7,-3299.7999999999993,-3374.7999999999993,-2.0454573004424508,SL
267.4,262.05199999999996,8,-4278.400000000011,-4353.400000000011,-2.0350598354525107,SL
163.2,159.93599999999998,11,-3590.400000000011,-3665.400000000011,-2.0417780748663166,SL
274.5,269.01,11,-6039.00000000001,-6114.00000000001,-2.0248385494287167,SL
220.3,215.894,8,-3524.8000000000047,-3599.8000000000047,-2.042555605991832,SL
217.8,213.44400000000002,12,-5227.199999999993,-5302.199999999993,-2.0286960514233217,SL
189.5,185.71,15,-5684.999999999988,-5759.999999999988,-2.026385224274402,SL
